timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-05-30 12:40:00,35792.47000000,35842.84000000,35677.79000000,35680.36000000,502.12538500,1622378699999,17973489.70903690,8357,335.40208200,12006226.68818296,0
2021-05-30 12:45:00,35680.36000000,35758.94000000,35280.00000000,35363.31000000,920.15216300,1622378999999,32666160.98040570,19910,420.30244300,14923601.34274886,0
2021-05-30 12:50:00,35363.31000000,35474.11000000,35321.59000000,35433.80000000,524.55942600,1622379299999,18569094.25219677,13008,296.84843400,10508102.63323539,0
2021-05-30 12:55:00,35433.81000000,35540.00000000,35433.13000000,35524.92000000,318.31537200,1622379599999,11297729.48652987,6417,221.66852000,7867924.43402786,0
2021-05-30 13:00:00,35524.94000000,35626.53000000,35401.00000000,35423.90000000,352.09332900,1622379899999,12506619.96022505,7892,186.90454600,6640156.65554302,0
2021-05-30 13:05:00,35430.66000000,35570.36000000,35419.24000000,35550.48000000,265.55943200,1622380199999,9427984.97087099,6331,159.19908000,5651489.44535360,0
2021-05-30 13:10:00,35550.47000000,35715.67000000,35500.00000000,35681.62000000,271.61433100,1622380499999,9676785.37030816,5366,146.15842100,5207696.08392268,0
2021-05-30 13:15:00,35681.71000000,35806.96000000,35600.01000000,35765.72000000,307.11994600,1622380799999,10967476.27154340,6353,177.31386600,6331386.26143763,0
2021-05-30 13:20:00,35763.48000000,35763.49000000,35627.11000000,35686.02000000,241.65420700,1622381099999,8627081.64772730,4040,120.56931000,4303882.05081035,0
2021-05-30 13:25:00,35683.38000000,35713.54000000,35583.07000000,35664.09000000,163.63215600,1622381399999,5835092.75686225,3334,87.12453100,3106951.02970611,0
2021-05-30 13:30:00,35664.08000000,35743.85000000,35577.71000000,35609.72000000,175.61614500,1622381699999,6264232.07960431,4056,72.28856300,2578323.09281290,0
2021-05-30 13:35:00,35609.72000000,35618.09000000,35555.00000000,35565.82000000,298.18030300,1622381999999,10606112.18576116,4264,116.01173900,4127062.20725386,0
2021-05-30 13:40:00,35562.70000000,35616.00000000,35459.59000000,35530.64000000,337.78296900,1622382299999,12006475.99632958,4675,104.17247000,3702222.08759335,0
2021-05-30 13:45:00,35521.04000000,35680.00000000,35521.04000000,35658.92000000,181.61787200,1622382599999,6468352.33442093,3772,120.80030000,4302334.58670916,0
2021-05-30 13:50:00,35660.78000000,35719.72000000,35594.97000000,35614.28000000,99.39855800,1622382899999,3545011.73898782,3272,53.10860300,1894033.41428716,0
2021-05-30 13:55:00,35614.29000000,35719.71000000,35610.83000000,35676.86000000,139.40272400,1622383199999,4974666.70433474,3053,57.24847300,2042840.22521743,0
2021-05-30 14:00:00,35676.86000000,35732.08000000,35567.35000000,35668.68000000,177.23839200,1622383499999,6320923.22988460,4975,89.84053500,3203945.70474876,0
2021-05-30 14:05:00,35667.88000000,35679.94000000,35600.52000000,35647.21000000,126.17570500,1622383799999,4496948.35334263,3429,74.07891500,2640059.47772893,0
2021-05-30 14:10:00,35645.84000000,35645.84000000,35504.46000000,35600.96000000,175.48553000,1622384099999,6241763.40824755,4202,76.61132300,2725592.61145639,0
2021-05-30 14:15:00,35600.96000000,35638.04000000,35359.59000000,35377.99000000,258.84097200,1622384399999,9178656.91573852,7074,104.29664600,3699155.04597175,0
2021-05-30 14:20:00,35378.00000000,35509.81000000,35211.78000000,35244.43000000,317.81757600,1622384699999,11241843.95395396,7590,148.60475400,5257199.55375523,0
2021-05-30 14:25:00,35241.90000000,35335.42000000,35100.00000000,35242.41000000,575.07699900,1622384999999,20248469.43959884,10776,215.05232600,7575528.52940528,0
2021-05-30 14:30:00,35242.53000000,35306.11000000,35125.09000000,35303.27000000,329.79075900,1622385299999,11609005.19460523,8180,154.36289300,5434617.23539499,0
2021-05-30 14:35:00,35300.55000000,35454.50000000,35271.18000000,35422.65000000,279.84173500,1622385599999,9896461.38801923,6402,168.95622600,5974853.50442052,0
2021-05-30 14:40:00,35422.64000000,35507.10000000,35386.43000000,35426.45000000,204.65994100,1622385899999,7254740.49961988,4791,105.06514700,3724654.58853612,0
2021-05-30 14:45:00,35426.46000000,35496.32000000,35303.39000000,35457.04000000,312.19820700,1622386199999,11046365.14418971,5686,179.27962700,6342406.02448273,0
2021-05-30 14:50:00,35457.04000000,35457.05000000,35308.05000000,35315.07000000,150.12074800,1622386499999,5311285.26027291,4295,70.74364700,2502700.32932631,0
2021-05-30 14:55:00,35314.95000000,35385.48000000,35272.17000000,35347.95000000,240.88534600,1622386799999,8506127.62708650,4886,123.17813100,4349146.69339971,0
2021-05-30 15:00:00,35347.10000000,35439.12000000,35313.23000000,35380.00000000,292.21052900,1622387099999,10336272.56435841,5609,186.30507300,6589936.26749592,0
2021-05-30 15:05:00,35380.00000000,35646.45000000,35377.09000000,35575.44000000,269.96586900,1622387399999,9586940.57604641,6693,145.30041700,5160436.37720541,0
2021-05-30 15:10:00,35579.69000000,35606.99000000,35308.13000000,35358.98000000,202.41678300,1622387699999,7171081.41792690,5366,95.85587400,3397183.34722380,0
2021-05-30 15:15:00,35358.98000000,35417.35000000,35209.03000000,35336.51000000,303.49397700,1622387999999,10711412.91816775,6925,158.13510500,5580931.58317308,0
2021-05-30 15:20:00,35335.30000000,35430.00000000,35311.08000000,35398.20000000,129.14246800,1622388299999,4568280.66056927,3387,73.16194900,2588226.30252109,0
2021-05-30 15:25:00,35397.49000000,35422.62000000,35326.02000000,35337.97000000,131.49396700,1622388599999,4650400.47587231,3223,63.18971400,2234823.72228712,0
2021-05-30 15:30:00,35337.98000000,35411.68000000,35260.01000000,35385.75000000,152.97565300,1622388899999,5406761.07983436,4085,84.45349700,2985363.78114774,0
2021-05-30 15:35:00,35385.75000000,35479.10000000,35293.58000000,35451.71000000,173.72453300,1622389199999,6149175.32749316,3859,84.05702900,2975756.05484443,0
2021-05-30 15:40:00,35448.62000000,35490.00000000,35384.23000000,35414.38000000,123.54927300,1622389499999,4378366.55493059,3057,62.71282800,2222405.69736934,0
2021-05-30 15:45:00,35414.63000000,35453.22000000,35389.98000000,35446.18000000,21.14349000,1622389799999,748849.85026931,583,9.42495700,333846.17174077,0
