timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-05-29 20:40:00,34390.01000000,34450.00000000,34282.36000000,34424.18000000,102.07794600,1622320859999,3507448.76382846,1897,56.89166600,1954736.22429942,0
2021-05-29 20:41:00,34424.18000000,34450.00000000,34265.50000000,34285.75000000,141.51029800,1622320919999,4865367.47855795,2140,55.39932600,1905054.64185868,0
2021-05-29 20:42:00,34280.90000000,34390.33000000,34280.90000000,34322.37000000,75.92986100,1622320979999,2606776.12491339,1318,46.15866600,1584800.36438375,0
2021-05-29 20:43:00,34324.16000000,34369.17000000,34295.46000000,34346.20000000,54.00037200,1622321039999,1854199.63851256,1009,29.77529600,1022417.15739920,0
2021-05-29 20:44:00,34342.39000000,34438.58000000,34320.12000000,34341.19000000,63.56445900,1622321099999,2185548.14083086,1239,27.40815500,942399.31481644,0
2021-05-29 20:45:00,34341.19000000,34359.26000000,34226.13000000,34239.95000000,61.06274400,1622321159999,2094178.35564544,1398,25.31378500,868253.32585797,0
2021-05-29 20:46:00,34239.31000000,34285.70000000,34149.32000000,34170.74000000,93.22979400,1622321219999,3189345.76312959,1718,32.49984800,1111921.03229178,0
2021-05-29 20:47:00,34176.78000000,34231.72000000,34103.78000000,34216.78000000,44.56980000,1622321279999,1522037.69399193,1254,23.25008700,794051.72772495,0
2021-05-29 20:48:00,34220.94000000,34247.24000000,34113.56000000,34143.65000000,42.72362500,1622321339999,1459471.05149355,1039,14.00794800,478565.48711964,0
2021-05-29 20:49:00,34147.96000000,34178.28000000,34105.65000000,34127.55000000,37.24193300,1622321399999,1271045.11953061,818,19.26351300,657503.36950108,0
2021-05-29 20:50:00,34127.55000000,34130.36000000,34074.45000000,34079.93000000,42.33264500,1622321459999,1443471.35532723,966,16.21821600,552973.32664746,0
2021-05-29 20:51:00,34079.93000000,34092.26000000,34042.13000000,34091.94000000,36.39236700,1622321519999,1239915.11599918,1021,14.53255800,495177.93609648,0
2021-05-29 20:52:00,34091.93000000,34093.51000000,34020.72000000,34020.73000000,55.60446100,1622321579999,1894054.93215216,1125,20.58559100,701349.33215735,0
2021-05-29 20:53:00,34020.73000000,34089.75000000,34012.10000000,34085.06000000,41.69486700,1622321639999,1419251.10457520,941,17.85643900,607919.78237189,0
2021-05-29 20:54:00,34077.78000000,34079.99000000,34032.25000000,34052.59000000,24.44972800,1622321699999,832505.14817434,684,12.33545600,419990.36600933,0
2021-05-29 20:55:00,34058.64000000,34058.64000000,33974.17000000,34008.63000000,68.76190700,1622321759999,2338624.32107523,1323,19.59992700,666713.51683284,0
2021-05-29 20:56:00,34010.60000000,34147.36000000,34001.22000000,34143.99000000,47.60743300,1622321819999,1621265.50008208,1026,31.99739300,1089729.22585198,0
2021-05-29 20:57:00,34143.99000000,34149.91000000,34052.02000000,34110.54000000,28.58454800,1622321879999,974760.66437659,883,15.48254400,527986.59675323,0
2021-05-29 20:58:00,34110.51000000,34111.46000000,34097.43000000,34100.77000000,1.37762200,1622321939999,46982.05549356,38,0.17975700,6129.32484287,0
